Size,HeuristicVertexTime,HeuristicVertexEdgeTime,ExactVertexTime,ExactVertexEdgeTime,NaiveTime
1,14777,8091,7025,1111,2666
2,639,90,95,50,57
3,4010,129,9511,180,51
4,231,210,183,172,97
5,350,251,217,275,189
6,474,403,1330,401,374
7,633,541,427,476,741
8,828,757,546,660,1389
9,1091,1248,827,1009,3097
10,1392,1369,952,965,6307
11,1924,1913,1404,1347,11235
12,2101,2208,1637,1604,21772
13,2736,2588,3020,1972,45822
14,3329,2993,3285,3203,94182
15,3319,3295,3452,3526,
16,4272,4347,3882,4006,
17,5799,5111,5444,5630,
18,7024,6747,7359,5876,
19,5718,5664,9038,9364,
20,6326,6297,9433,9858,
21,7050,6839,17286,21561,
22,8346,8372,11833,12073,
23,7797,8124,13128,13907,
24,8273,8386,22510,22952,
25,8870,8870,29586,32982,
26,10020,9871,29908,31370,
27,10865,10765,29331,29601,
28,12134,12348,36230,38205,
29,13167,13353,35509,36419,
30,14239,14590,70806,74542,
31,15243,15057,64333,64120,
32,16578,16853,117413,119426,
33,16918,17168,84510,83884,
34,18821,19164,101781,100064,
35,20009,21008,126266,126022,
36,21858,24232,186157,217515,
37,22048,22400,191106,192525,
38,23782,23837,179181,185787,
39,25724,26299,284899,292695,
40,28202,28225,395332,401784,
41,32028,32390,388047,391858,
42,32524,34953,303119,235704,
43,33057,32709,423500,425408,
44,33146,33967,612240,616768,
45,37062,37840,624663,628184,
46,38418,39239,865030,874584,
47,38083,39637,784834,819294,
48,52441,51657,939813,872902,
49,46237,48463,896825,892038,
